"","participant.label","type","age","gender","income","education","conservative_liberal","conservative_liberal.binary","cc_concern.mean","total_co2","rating","vignette","diet","flying","electricity","regional","recycling","commute"
"12","54232b4bfdf99b328c91b253","5.",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,5,3,"meat-based","takes train (does not fly)","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"13","54232b4bfdf99b328c91b253","6.",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,5,11,"meat-based","takes train (does not fly)","mixed energy supply","only regional","recycles","takes the bus"
"14","54232b4bfdf99b328c91b253","7.",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,6,6,"vegetarian","flies 2/year","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"15","54232b4bfdf99b328c91b253","8.",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,7,15,"meat-based","flies 2/year","mixed energy supply","only regional","does not recycle","take the bike"
"16","54232b4bfdf99b328c91b253","9.",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,7,9,"vegetarian","flies 2/year","100% renewable energy supply","only regional","does not recycle","takes the bus"
"17","542926d2fdf99b0b7ac2904e","1.",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,3,11,"meat-based","takes train (does not fly)","mixed energy supply","only regional","recycles","takes the bus"
"18","542926d2fdf99b0b7ac2904e","10",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,3,2,"vegetarian","takes train (does not fly)","100% renewable energy supply","regional and imported","recycles","takes the bus"
"19","542926d2fdf99b0b7ac2904e","11",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,4,13,"vegetarian","flies 2/year","mixed energy supply","regional and imported","recycles","take the bike"
"20","542926d2fdf99b0b7ac2904e","12",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,6,10,"meat-based","flies 2/year","100% renewable energy supply","only regional","does not recycle","take the bike"
"21","542926d2fdf99b0b7ac2904e","13",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,2,14,"vegetarian","flies 2/year","mixed energy supply","only regional","recycles","takes the bus"
"22","542926d2fdf99b0b7ac2904e","14",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,7,12,"meat-based","flies 2/year","100% renewable energy supply","regional and imported","recycles","takes the bus"
"23","542926d2fdf99b0b7ac2904e","15",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,6,5,"vegetarian","takes train (does not fly)","mixed energy supply","only regional","does not recycle","take the bike"
"24","542926d2fdf99b0b7ac2904e","16",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,7,16,"meat-based","flies 2/year","mixed energy supply","regional and imported","does not recycle","takes the bus"
"25","542926d2fdf99b0b7ac2904e","2.",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,8,3,"meat-based","takes train (does not fly)","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"26","542926d2fdf99b0b7ac2904e","3.",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,8,6,"vegetarian","flies 2/year","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"27","542926d2fdf99b0b7ac2904e","4.",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,7,9,"vegetarian","flies 2/year","100% renewable energy supply","only regional","does not recycle","takes the bus"
"28","542926d2fdf99b0b7ac2904e","5.",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,5,8,"meat-based","takes train (does not fly)","mixed energy supply","regional and imported","recycles","take the bike"
"29","542926d2fdf99b0b7ac2904e","6.",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,5,7,"vegetarian","takes train (does not fly)","mixed energy supply","regional and imported","does not recycle","takes the bus"
"30","542926d2fdf99b0b7ac2904e","7.",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,8,4,"meat-based","takes train (does not fly)","100% renewable energy supply","only regional","does not recycle","takes the bus"
"31","542926d2fdf99b0b7ac2904e","8.",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,7,15,"meat-based","flies 2/year","mixed energy supply","only regional","does not recycle","take the bike"
"32","542926d2fdf99b0b7ac2904e","9.",51,"Female","< 18.000£","Further education",5,"left-leaning",3.25,4.6,3,1,"vegetarian","takes train (does not fly)","100% renewable energy supply","only regional","recycles","take the bike"
"33","547272b4fdf99b44c5647418","1.",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,7,10,"meat-based","flies 2/year","100% renewable energy supply","only regional","does not recycle","take the bike"
"34","547272b4fdf99b44c5647418","10",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,10,16,"meat-based","flies 2/year","mixed energy supply","regional and imported","does not recycle","takes the bus"
"35","547272b4fdf99b44c5647418","11",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,7,14,"vegetarian","flies 2/year","mixed energy supply","only regional","recycles","takes the bus"
"36","547272b4fdf99b44c5647418","12",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,3,4,"meat-based","takes train (does not fly)","100% renewable energy supply","only regional","does not recycle","takes the bus"
"37","547272b4fdf99b44c5647418","13",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,7,6,"vegetarian","flies 2/year","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"38","547272b4fdf99b44c5647418","14",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,5,8,"meat-based","takes train (does not fly)","mixed energy supply","regional and imported","recycles","take the bike"
"39","547272b4fdf99b44c5647418","15",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,7,13,"vegetarian","flies 2/year","mixed energy supply","regional and imported","recycles","take the bike"
"40","547272b4fdf99b44c5647418","16",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,8,9,"vegetarian","flies 2/year","100% renewable energy supply","only regional","does not recycle","takes the bus"
"41","547272b4fdf99b44c5647418","2.",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,4,7,"vegetarian","takes train (does not fly)","mixed energy supply","regional and imported","does not recycle","takes the bus"
"42","547272b4fdf99b44c5647418","3.",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,2,5,"vegetarian","takes train (does not fly)","mixed energy supply","only regional","does not recycle","take the bike"
"43","547272b4fdf99b44c5647418","4.",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,1,2,"vegetarian","takes train (does not fly)","100% renewable energy supply","regional and imported","recycles","takes the bus"
"44","547272b4fdf99b44c5647418","5.",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,9,15,"meat-based","flies 2/year","mixed energy supply","only regional","does not recycle","take the bike"
"45","547272b4fdf99b44c5647418","6.",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,4,11,"meat-based","takes train (does not fly)","mixed energy supply","only regional","recycles","takes the bus"
"46","547272b4fdf99b44c5647418","7.",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,4,3,"meat-based","takes train (does not fly)","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"47","547272b4fdf99b44c5647418","8.",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,8,12,"meat-based","flies 2/year","100% renewable energy supply","regional and imported","recycles","takes the bus"
"48","547272b4fdf99b44c5647418","9.",59,"Male","< 18.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5.75,2.1,1,1,"vegetarian","takes train (does not fly)","100% renewable energy supply","only regional","recycles","take the bike"
"49","54aefa06fdf99b09c01b37f4","1.",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,3,12,"meat-based","flies 2/year","100% renewable energy supply","regional and imported","recycles","takes the bus"
"50","54aefa06fdf99b09c01b37f4","10",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,4,10,"meat-based","flies 2/year","100% renewable energy supply","only regional","does not recycle","take the bike"
"51","54aefa06fdf99b09c01b37f4","11",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,4,8,"meat-based","takes train (does not fly)","mixed energy supply","regional and imported","recycles","take the bike"
"52","54aefa06fdf99b09c01b37f4","12",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,4,13,"vegetarian","flies 2/year","mixed energy supply","regional and imported","recycles","take the bike"
"53","54aefa06fdf99b09c01b37f4","13",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,4,11,"meat-based","takes train (does not fly)","mixed energy supply","only regional","recycles","takes the bus"
"54","54aefa06fdf99b09c01b37f4","14",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,1,1,"vegetarian","takes train (does not fly)","100% renewable energy supply","only regional","recycles","take the bike"
"55","54aefa06fdf99b09c01b37f4","15",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,3,5,"vegetarian","takes train (does not fly)","mixed energy supply","only regional","does not recycle","take the bike"
"56","54aefa06fdf99b09c01b37f4","16",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,3,4,"meat-based","takes train (does not fly)","100% renewable energy supply","only regional","does not recycle","takes the bus"
"57","54aefa06fdf99b09c01b37f4","2.",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,1,2,"vegetarian","takes train (does not fly)","100% renewable energy supply","regional and imported","recycles","takes the bus"
"58","54aefa06fdf99b09c01b37f4","3.",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,5,16,"meat-based","flies 2/year","mixed energy supply","regional and imported","does not recycle","takes the bus"
"59","54aefa06fdf99b09c01b37f4","4.",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,4,7,"vegetarian","takes train (does not fly)","mixed energy supply","regional and imported","does not recycle","takes the bus"
"60","54aefa06fdf99b09c01b37f4","5.",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,4,9,"vegetarian","flies 2/year","100% renewable energy supply","only regional","does not recycle","takes the bus"
"61","54aefa06fdf99b09c01b37f4","6.",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,4,3,"meat-based","takes train (does not fly)","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"62","54aefa06fdf99b09c01b37f4","7.",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,3,14,"vegetarian","flies 2/year","mixed energy supply","only regional","recycles","takes the bus"
"63","54aefa06fdf99b09c01b37f4","8.",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,5,15,"meat-based","flies 2/year","mixed energy supply","only regional","does not recycle","take the bike"
"64","54aefa06fdf99b09c01b37f4","9.",50,"Female","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",6,3.3,4,6,"vegetarian","flies 2/year","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"65","559d96aefdf99b1e448268e5","1.",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,5,16,"meat-based","flies 2/year","mixed energy supply","regional and imported","does not recycle","takes the bus"
"66","559d96aefdf99b1e448268e5","10",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,5,12,"meat-based","flies 2/year","100% renewable energy supply","regional and imported","recycles","takes the bus"
"67","559d96aefdf99b1e448268e5","11",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,5,9,"vegetarian","flies 2/year","100% renewable energy supply","only regional","does not recycle","takes the bus"
"68","559d96aefdf99b1e448268e5","12",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,5,6,"vegetarian","flies 2/year","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"69","559d96aefdf99b1e448268e5","13",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,5,10,"meat-based","flies 2/year","100% renewable energy supply","only regional","does not recycle","take the bike"
"70","559d96aefdf99b1e448268e5","14",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,5,13,"vegetarian","flies 2/year","mixed energy supply","regional and imported","recycles","take the bike"
"71","559d96aefdf99b1e448268e5","15",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,5,11,"meat-based","takes train (does not fly)","mixed energy supply","only regional","recycles","takes the bus"
"72","559d96aefdf99b1e448268e5","16",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,5,3,"meat-based","takes train (does not fly)","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"73","559d96aefdf99b1e448268e5","2.",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,2,14,"vegetarian","flies 2/year","mixed energy supply","only regional","recycles","takes the bus"
"74","559d96aefdf99b1e448268e5","3.",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,5,15,"meat-based","flies 2/year","mixed energy supply","only regional","does not recycle","take the bike"
"75","559d96aefdf99b1e448268e5","4.",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,7,7,"vegetarian","takes train (does not fly)","mixed energy supply","regional and imported","does not recycle","takes the bus"
"76","559d96aefdf99b1e448268e5","5.",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,4,8,"meat-based","takes train (does not fly)","mixed energy supply","regional and imported","recycles","take the bike"
"77","559d96aefdf99b1e448268e5","6.",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,3,2,"vegetarian","takes train (does not fly)","100% renewable energy supply","regional and imported","recycles","takes the bus"
"78","559d96aefdf99b1e448268e5","7.",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,1,1,"vegetarian","takes train (does not fly)","100% renewable energy supply","only regional","recycles","take the bike"
"79","559d96aefdf99b1e448268e5","8.",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,3,5,"vegetarian","takes train (does not fly)","mixed energy supply","only regional","does not recycle","take the bike"
"80","559d96aefdf99b1e448268e5","9.",42,"Female","> 45.001£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,5.3,5,4,"meat-based","takes train (does not fly)","100% renewable energy supply","only regional","does not recycle","takes the bus"
"81","55d09e4934e9060005e5729a","1.",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,3,14,"vegetarian","flies 2/year","mixed energy supply","only regional","recycles","takes the bus"
"82","55d09e4934e9060005e5729a","10",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,5,10,"meat-based","flies 2/year","100% renewable energy supply","only regional","does not recycle","take the bike"
"83","55d09e4934e9060005e5729a","11",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,2,7,"vegetarian","takes train (does not fly)","mixed energy supply","regional and imported","does not recycle","takes the bus"
"84","55d09e4934e9060005e5729a","12",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,3,4,"meat-based","takes train (does not fly)","100% renewable energy supply","only regional","does not recycle","takes the bus"
"85","55d09e4934e9060005e5729a","13",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,3,13,"vegetarian","flies 2/year","mixed energy supply","regional and imported","recycles","take the bike"
"86","55d09e4934e9060005e5729a","14",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,2,8,"meat-based","takes train (does not fly)","mixed energy supply","regional and imported","recycles","take the bike"
"87","55d09e4934e9060005e5729a","15",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,3,9,"vegetarian","flies 2/year","100% renewable energy supply","only regional","does not recycle","takes the bus"
"88","55d09e4934e9060005e5729a","16",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,6,16,"meat-based","flies 2/year","mixed energy supply","regional and imported","does not recycle","takes the bus"
"89","55d09e4934e9060005e5729a","2.",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,5,15,"meat-based","flies 2/year","mixed energy supply","only regional","does not recycle","take the bike"
"90","55d09e4934e9060005e5729a","3.",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,4,12,"meat-based","flies 2/year","100% renewable energy supply","regional and imported","recycles","takes the bus"
"91","55d09e4934e9060005e5729a","4.",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,2,6,"vegetarian","flies 2/year","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"92","55d09e4934e9060005e5729a","5.",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,2,3,"meat-based","takes train (does not fly)","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"93","55d09e4934e9060005e5729a","6.",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,1,1,"vegetarian","takes train (does not fly)","100% renewable energy supply","only regional","recycles","take the bike"
"94","55d09e4934e9060005e5729a","7.",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,3,11,"meat-based","takes train (does not fly)","mixed energy supply","only regional","recycles","takes the bus"
"95","55d09e4934e9060005e5729a","8.",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,1,5,"vegetarian","takes train (does not fly)","mixed energy supply","only regional","does not recycle","take the bike"
"96","55d09e4934e9060005e5729a","9.",28,"Male","< 18.000£","Further education",6,"right-leaning",4.5,4.2,2,2,"vegetarian","takes train (does not fly)","100% renewable energy supply","regional and imported","recycles","takes the bus"
"97","560925acd7def20005b7362a","1.",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,7,15,"meat-based","flies 2/year","mixed energy supply","only regional","does not recycle","take the bike"
"98","560925acd7def20005b7362a","10",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,5,13,"vegetarian","flies 2/year","mixed energy supply","regional and imported","recycles","take the bike"
"99","560925acd7def20005b7362a","11",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,5,10,"meat-based","flies 2/year","100% renewable energy supply","only regional","does not recycle","take the bike"
"100","560925acd7def20005b7362a","12",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,4,5,"vegetarian","takes train (does not fly)","mixed energy supply","only regional","does not recycle","take the bike"
"101","560925acd7def20005b7362a","13",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,5,12,"meat-based","flies 2/year","100% renewable energy supply","regional and imported","recycles","takes the bus"
"102","560925acd7def20005b7362a","14",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,5,4,"meat-based","takes train (does not fly)","100% renewable energy supply","only regional","does not recycle","takes the bus"
"103","560925acd7def20005b7362a","15",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,6,9,"vegetarian","flies 2/year","100% renewable energy supply","only regional","does not recycle","takes the bus"
"104","560925acd7def20005b7362a","16",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,6,16,"meat-based","flies 2/year","mixed energy supply","regional and imported","does not recycle","takes the bus"
"105","560925acd7def20005b7362a","2.",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,5,14,"vegetarian","flies 2/year","mixed energy supply","only regional","recycles","takes the bus"
"106","560925acd7def20005b7362a","3.",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,4,7,"vegetarian","takes train (does not fly)","mixed energy supply","regional and imported","does not recycle","takes the bus"
"107","560925acd7def20005b7362a","4.",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,7,6,"vegetarian","flies 2/year","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"108","560925acd7def20005b7362a","5.",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,3,2,"vegetarian","takes train (does not fly)","100% renewable energy supply","regional and imported","recycles","takes the bus"
"109","560925acd7def20005b7362a","6.",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,4,8,"meat-based","takes train (does not fly)","mixed energy supply","regional and imported","recycles","take the bike"
"110","560925acd7def20005b7362a","7.",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,5,3,"meat-based","takes train (does not fly)","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"111","560925acd7def20005b7362a","8.",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,5,11,"meat-based","takes train (does not fly)","mixed energy supply","only regional","recycles","takes the bus"
"112","560925acd7def20005b7362a","9.",55,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4,"left-leaning",4.75,5.9,2,1,"vegetarian","takes train (does not fly)","100% renewable energy supply","only regional","recycles","take the bike"
"113","56296779c8ffc200055134c9","1.",49,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,"left-leaning",1.75,4.2,3,8,"meat-based","takes train (does not fly)","mixed energy supply","regional and imported","recycles","take the bike"
"114","56296779c8ffc200055134c9","10",49,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,"left-leaning",1.75,4.2,4,13,"vegetarian","flies 2/year","mixed energy supply","regional and imported","recycles","take the bike"
"115","56296779c8ffc200055134c9","11",49,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,"left-leaning",1.75,4.2,5,14,"vegetarian","flies 2/year","mixed energy supply","only regional","recycles","takes the bus"
"116","56296779c8ffc200055134c9","12",49,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,"left-leaning",1.75,4.2,3,2,"vegetarian","takes train (does not fly)","100% renewable energy supply","regional and imported","recycles","takes the bus"
"117","56296779c8ffc200055134c9","13",49,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,"left-leaning",1.75,4.2,5,9,"vegetarian","flies 2/year","100% renewable energy supply","only regional","does not recycle","takes the bus"
"118","56296779c8ffc200055134c9","14",49,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,"left-leaning",1.75,4.2,3,11,"meat-based","takes train (does not fly)","mixed energy supply","only regional","recycles","takes the bus"
"119","56296779c8ffc200055134c9","15",49,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,"left-leaning",1.75,4.2,4,6,"vegetarian","flies 2/year","100% renewable energy supply","regional and imported","does not recycle","take the bike"
"120","56296779c8ffc200055134c9","16",49,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,"left-leaning",1.75,4.2,2,1,"vegetarian","takes train (does not fly)","100% renewable energy supply","only regional","recycles","take the bike"
"121","56296779c8ffc200055134c9","2.",49,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,"left-leaning",1.75,4.2,3,5,"vegetarian","takes train (does not fly)","mixed energy supply","only regional","does not recycle","take the bike"
"122","56296779c8ffc200055134c9","3.",49,"Male","23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,"left-leaning",1.75,4.2,3,12,"meat-based","flies 2/year","100% renewable energy supply","regional and imported","recycles","takes the bus"
