"","participant.label","(Intercept)","flying.weight","diet.weight","electricity.weight","commute.weight","regional.weight","recycling.weight","gender","age","income","education","cc_concern.mean","total_co2","conservative_liberal.binary","conservative_liberal","policy.car","policy.flying","policy.recycle","policy.RE","policy.meat","policy.regional_food","footprint.electricity","footprint.regional","footprint.recycling","footprint.diet","footprint.travel.car","footprint.travel.bus","footprint.travel.train","footprint.flying","footprint.public.transport"
"11","56a80408c89737000b22bd37",0.843677817159526,2.22711774139251,0.476522335189874,1.20610376085104,0.380664470067743,0.775462809300019,1.23072619907871,"Male",48,"> 45.001£","Higher education (Bachelor, Master, PhD)",1.5,3.1,"right-leaning",6,3.5,2.5,3.5,1.5,1,3.5,0.6988837,-0.33,-0.0575,2.282,0.2726,0.1555,0.0729,0,0.1142
"12","56d33245321cae000b68d9e4",3.3378376087685,-0.321631799842466,1.14624597561957,0.345468144323916,0.58050522944891,0.562856049802336,0.865106492446126,"Male",66,"23.001£ to 30.500£","Further education",4.25,4.8,"right-leaning",10,2,1.5,3,5.5,3.5,6.5,1.294697,-0.22,0,2.282,0.2726,0.1555,0.0729,0.9,0.1142
"13","571a57e56a1c6300124bb6bd",1.9207028637187,1.69476729262252,1.24555898662149,0.579183914510602,0.262094272925147,0.687470806943035,1.06650470960898,"Female",64,"< 18.000£","Compulsory education",6,3.7,"right-leaning",7,4.5,6,6,3.5,3.5,5.5,1.294697,-0.33,-0.0575,2.282,0.2726,0.1555,0.0729,0,0.1142
"14","571a861d838a4e0013b1860a",2.08568065452215,0.597162606419498,0.286830382146713,0.648694057945467,0.327813611963203,0.469436004791316,0.89952144589568,"Male",51,"30.501£ to 45.000£","Further education",2.25,6,"left-leaning",2,4,3,1,4,2.5,4,0.6988837,-0.11,0,2.282,1.0872,0,0,2.07,0
"15","576fc3462984e70001a97fc3",1.25603150889564,2.10967941802076,1.31436807904159,0.69451250674655,0.335092141458585,0.797669057949748,1.26452377945405,"Male",32,"18.000£ to 23.000£","Higher education (Bachelor, Master, PhD)",6,3.4,"left-leaning",4,6.5,3.5,6,5.5,6,5.5,0.1031,-0.22,-0.0575,1.053,0.2726,0.1555,0,2.07,0.07775
"16","577e3a5025cb71000128727e",2.28553857502738,0.861447037781714,1.00288582206387,0.583637827696775,0.321989003484741,0.69740118774222,1.1753290446594,"Female",63,"< 18.000£","Further education",5.25,2.5,"left-leaning",5,5,6.5,6,3,6,5.5,0.1031,-0.22,-0.0575,1.431,1.0872,0.1555,0,0,0.07775
"17","577f91b84d107800016d9e69",1.95877902510713,2.62844507664699,0.814260411103384,0.87542991612048,0.341986160541345,0.706549937436545,1.05161773856377,"Male",70,"23.001£ to 30.500£","Further education",4.75,3.2,"right-leaning",6,5,5,6,6,4.5,6.5,0.6988837,-0.22,-0.0575,2.282,0.2726,0.1555,0.0729,0,0.1142
"18","58a085f6f6cc2100012af56e",1.95545152017864,2.1860316426795,1.90180049689175,0.80798682010029,0.466248048893636,0.960260163157816,1.25329920429377,"Male",46,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,3.1,"left-leaning",3,7,7,6.5,5.5,3.5,5.5,0.6988837,-0.22,-0.0575,2.282,0,0.1555,0.2909,0,0.2232
"19","5918a03738cc6d0001a4bde7",3.31932064150072,0.284572885621534,-0.0328749233797222,0.435446071269227,0.173881865696204,0.193877685505805,0.430164885358514,"Male",37,"> 45.001£","Higher education (Bachelor, Master, PhD)",1,2.3,"right-leaning",8,3,1,3.5,1,1,3.5,0.1031,-0.44,-0.0575,2.282,0.2726,0.1555,0,0,0.07775
"20","594a8e2eeaa18e000163f6cd",4.57953829729636,2.36278437529949,-1.80499838157524,0.681137752838988,0.0569420676615751,-0.254515688255553,-0.233084129905162,"Female",46,"< 18.000£","Higher education (Bachelor, Master, PhD)",1,3.7,"right-leaning",9,3.5,1,3,1,1,3,1.294697,-0.33,0,2.282,0.2726,0.1555,0.0729,0.36,0.1142
"21","596e6e5cd7919800014b49b8",2.40891759013328,2.20931193915941,0.705509847093529,0.539701322722218,0.245170898045266,0.454521787413969,0.701691484805997,"Male",48,"30.501£ to 45.000£","Compulsory education",3,3.9,"left-leaning",3,4,4.5,5,3,3,4.5,0.6988837,-0.33,-0.0575,2.282,1.0872,0.1555,0.0729,0,0.1142
"22","597b652912b52100010ca9b2",2.57811603885325,1.92490375151197,1.02058933824919,0.997477755706406,0.447762551154029,0.845842516688877,1.17020962726394,"Female",23,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",6,3.3,"left-leaning",3,6,5,6.5,5.5,5,6,1.294697,-0.33,-0.0575,2.282,0,0.1555,0,0.36,0.07775
"23","597c6cdf21db3a0001418541",1.20176146280539,1.3077701876936,0.671382309867174,0.852023842323118,0.396707358951741,0.843268166221068,1.55897595346937,"Male",66,"23.001£ to 30.500£","Further education",3.25,3.9,"right-leaning",7,3.5,1,2.5,4,3,2.5,1.294697,0,-0.0575,2.282,0.2726,0,0.0729,0,0.03645
"24","59839cb9554956000142d95f",2.53410039631464,2.25022470823857,1.29783195369769,0.662497992703839,0.278284579795431,0.682748209450624,0.903923873897972,"Female",52,"< 18.000£","Compulsory education",6,1.4,"left-leaning",3,5,6.5,5,3.5,4,6,0.6988837,-0.33,-0.0575,1.053,0,0,0,0,0
"25","59a9c0291b7a550001d6392e",2.26824694304696,1.71783037369549,1.23385842405961,0.55904760381572,0.296896746469253,0.628052528655376,0.90556643955021,"Female",41,"< 18.000£","Higher education (Bachelor, Master, PhD)",3.75,5.5,"left-leaning",3,4,2,5.5,5,3.5,6,0.6988837,-0.33,-0.0575,2.282,2.0414,0,0,0.9,0
"26","59b193aff69f3400018671ba",2.57087288584996,1.09814763505621,0.524336300326766,0.456838993539148,0.200378975909258,0.379426144553148,0.672770428679513,"Male",54,"< 18.000£","Further education",3,1.2,"right-leaning",8,7,6.5,7,5.5,4.5,5.5,0.1031,-0.11,-0.0575,1.053,0,0.1555,0.0729,0,0.1142
"27","59baa4f5178f1b00018289b2",1.32149971125389,0.263404202703267,0.247765986561219,0.350994184969186,-0.0552706296469771,0.148403704381458,0.454633823747447,"Male",57,"23.001£ to 30.500£","Further education",1.75,3.6,"right-leaning",6,3,1,3,2.5,2.5,3.5,1.294697,-0.22,-0.0575,2.282,0.2726,0,0,0,0
"28","59e4b3a1896cfc0001921095",3.34616898624487,1.36432553644433,1.08677857588354,0.490033089060936,0.513238000578045,0.580754720692008,0.795533602015832,"Male",52,"< 18.000£","Higher education (Bachelor, Master, PhD)",6,0.9,"left-leaning",1,6.5,6.5,6.5,5.5,5,5.5,0.1031,-0.22,-0.0575,0.955,0,0.1555,0,0,0.07775
"29","59f7876cbe9c0c0001486c7d",4.40860655686455,1.17745681041759,0.390803585568002,0.425019592462761,0.43327082240871,0.386161174608008,0.585214753398909,"Male",62,"< 18.000£","Compulsory education",4.25,3.2,"left-leaning",5,1,1,1.5,1,1.5,2,0.6988837,-0.11,-0.0575,2.282,0.2726,0.1555,0,0,0.07775
"30","5a01d867074b1900012512ef",2.20205611329733,0.702014893997469,0.984052027865488,0.901282808729285,0.610160241404952,0.949546393003343,1.55632331721068,"Female",30,"23.001£ to 30.500£","Further education",2.25,3.6,"left-leaning",5,3,3,4,4,3.5,3,1.294697,-0.22,-0.0575,2.282,0.2726,0,0,0.36,0
"31","5a04ccfef2e3460001edadef",2.98697370675469,1.44605681318068,0.93751008999883,0.422200583322451,0.495378144434925,0.589587812196065,0.961602978537206,"Female",68,"23.001£ to 30.500£","Compulsory education",5.75,2.9,"right-leaning",8,4.5,6.5,5.5,4,6,5.5,0.6988837,-0.11,-0.0575,1.234,1.0872,0,0,0,0
"32","5a75d51a0f1bce0001219703",0.968001363046431,-0.0607542963311485,1.10589607150125,0.542248887967943,0.279079815106223,0.700343824306601,1.30870240760819,"Female",66,"23.001£ to 30.500£","Compulsory education",6,3.3,"left-leaning",3,3,6,7,4.5,5,6.5,0.1031,-0.33,-0.0575,2.282,0.2726,0.1555,0,0.9,0.07775
"33","5a7ace61eea3d300016e07fd",2.73800623336405,0.497461634515209,1.59551122221747,0.436784570824707,0.544227456979821,0.931233426380857,1.54777883050578,"Male",69,"> 45.001£","Higher education (Bachelor, Master, PhD)",5.75,3.8,"left-leaning",5,6.5,5.5,7,6,7,6,0.6988837,-0.22,-0.0575,1.431,1.0872,0,0,0.9,0
"34","5a913c1e6475f900019f8e5c",2.80082321889977,0.999230354739767,1.71088522095752,0.233601597654622,0.302466986170378,0.610172460825827,0.861285726739512,"Male",65,"< 18.000£","Higher education (Bachelor, Master, PhD)",6,3.2,"left-leaning",2,7,7,7,7,7,7,0.6988837,-0.22,-0.0575,2.282,0.2726,0.1555,0.0729,0.36,0.1142
"35","5a9ca92b6219a30001f5351e",2.93436843813001,0.76385124632157,0.833666247534331,0.747498147386658,0.452161240650071,0.633435567643986,0.905511207890376,"Male",27,"< 18.000£","Higher education (Bachelor, Master, PhD)",4.5,4,"left-leaning",3,6,5,6.5,5.5,5.5,4.5,1.294697,-0.44,-0.0575,2.282,0,0.6201,0.2909,0,0.4555
"36","5ae5a3ff3ab2fb0001ef2b91",5.81234666697331,0.265723098952179,-0.946184656602675,0.25472298957982,0.171135323232488,-0.227453535547109,-0.296779261341212,"Male",34,"> 45.001£","Higher education (Bachelor, Master, PhD)",2,6,"right-leaning",10,1.5,1,4,1.5,2.5,3,1.294697,-0.44,-0.0575,2.282,1.0872,0.6201,0.2909,0.9,0.4555
"37","5ae8d7b596845f0001c7948d",2.3874838356567,0.738380522210936,1.19177961007931,0.79045407800359,0.612908343304729,0.772870790124389,1.09421062863103,"Female",59,"< 18.000£","Further education",4.25,3.4,"right-leaning",7,3.5,2.5,4,2.5,5,4.5,1.294697,-0.22,-0.0575,1.234,0.2726,0,0,0.9,0
"38","5aecb87ac09cd900015d7d7b",1.1072666435117,2.29015050340725,1.27526901782317,0.680552423512128,0.308941543913918,0.662138833749701,0.968841021374032,"Male",32,"< 18.000£","Higher education (Bachelor, Master, PhD)",5.5,3.3,"left-leaning",4,3.5,5.5,4,4,3.5,4,1.294697,-0.22,-0.0575,2.282,0,0,0,0,0
"39","5af4579eb625f70001e0cfad",2.45595911175693,1.09683445963494,0.387809986248518,0.372144276183,0.254718628472625,0.363624289172993,0.758255051888449,"Female",45,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",4.75,7.2,"right-leaning",6,4,1.5,3,4,3,2.5,1.294697,-0.33,-0.0575,2.282,0.2726,0.1555,0,3.59,0.07775
"40","5b03567dc573030001c36f1d",2.97355930926563,1.37091537120686,1.65084941803337,0.371291566013121,0.44285812316143,0.712125692069293,1.00031611951349,"Female",29,"< 18.000£","Higher education (Bachelor, Master, PhD)",6,4.2,"left-leaning",4,7,4.5,6.5,5.5,7,6.5,0.6988837,-0.22,-0.0575,0.955,0.2726,0.1555,0.2909,2.07,0.2232
"41","5b1386089663ee0001461b6e",2.91828773030591,1.54024011726805,0.871174140042583,0.579993567669522,0.594266455416075,0.679480847568755,1.09111144466891,"Male",49,"> 45.001£","Higher education (Bachelor, Master, PhD)",6,2.1,"left-leaning",3,6,6.5,6,5,4.5,6,0.1031,-0.22,-0.0575,2.282,0,0,0,0,0
"42","5b14265d30d562000155ea04",1.87661591766259,2.01325169789033,0.520740039432836,0.936339093390309,0.48247405799718,0.728188457243084,1.19533723747077,"Male",44,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",5.5,3.7,"right-leaning",6,4.5,5.5,5,4,3.5,5,1.294697,-0.33,-0.0575,2.282,0.2726,0,0.2909,0,0.14545
"43","5b1562981e55760001ba1e64",1.71790333880309,3.02205305947574,0.739487779441277,0.798756375801526,0.34343039424038,0.598143561218422,0.883255115480096,"Male",60,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,3.6,"right-leaning",6,6.5,7,2.5,6.5,5.5,5,1.294697,-0.22,-0.0575,2.282,0.2726,0,0,0.36,0
"44","5b19a21bfceed30001b57e6e",3.99316932820773,0.487260085310016,0.660266462932917,0.554799563218573,0.503231067148207,0.525384741957771,0.763474340563148,"Female",31,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",5.5,4.5,"right-leaning",6,5.5,3,6.5,4,3.5,5,1.294697,-0.22,-0.0575,2.282,0.2726,0,0,0.9,0
"45","5b2c0994f1ca3c000190196a",2.06064416438873,1.21680105344814,1.73471482389153,0.679082636854782,0.683473900175369,1.10289050069431,1.76184270208488,"Female",39,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",6,2.4,"right-leaning",7,3.5,5.5,7,5,6.5,7,1.294697,-0.33,-0.0575,1.234,0.2726,0,0,0,0
"46","5b4b0e8d94020800016323ed",1.0697436603075,1.64980144146935,1.33715941927152,0.659085232192479,0.0649417133949966,0.568173100119253,0.7705373029761,"Male",41,"30.501£ to 45.000£","Further education",5,5,"left-leaning",5,6,3.5,4.5,5,4,4,0.6988837,-0.22,-0.0575,2.282,0,0.1555,0.0729,2.07,0.1142
"47","5b4ce12a1fa5830001016869",2.46741886633846,1.23221657068882,0.952186520576687,0.321283769211254,0.302067949570737,0.516913622502693,0.919328255380362,"Male",48,"< 18.000£","Further education",2,3.9,"right-leaning",9,3,3,4,3,2,2,1.294697,-0.11,-0.0575,2.282,0.2726,0.1555,0.0729,0,0.1142
"48","5b90696e50f7ce00016007aa",3.40367886035197,-0.305247479149014,1.29294787300775,0.0692411146195598,0.498385798427184,0.566007104605408,1.01126925952675,"Male",71,"> 45.001£","Higher education (Bachelor, Master, PhD)",1,17.1,"right-leaning",6,4,1,3,1,1,1,1.294697,-0.44,-0.0575,2.282,0.2726,0.1555,0.0729,13.48,0.1142
"49","5b9d05862299630001406f88",1.99717982124352,0.908963596960782,1.38639894170944,0.574864042549516,0.284840381232745,0.725643638686278,1.11306162125435,"Female",64,"< 18.000£","Further education",6,1.9,"left-leaning",2,7,4.5,6.5,6,5.5,6,0.6988837,-0.44,-0.0575,1.431,0,0.1555,0.0729,0.36,0.1142
"50","5bad50b93d5a320001f632f6",2.48513686306258,1.66871247532476,0.616536832037521,0.801441145596534,0.257281164547055,0.569324198143554,0.839430872044505,"Female",33,"> 45.001£","Higher education (Bachelor, Master, PhD)",6,4.2,"right-leaning",8,6,5,6.5,4,3.5,5.5,1.294697,-0.44,-0.0575,1.234,2.0414,0.1555,0,0,0.07775
"51","5bec992f398eb00001a24ace",2.01107575174736,1.28500793263244,1.00435208575258,1.17296122171883,0.91185428653892,0.899808306577688,1.19973738341292,"Male",27,"< 18.000£","Further education",4,2.9,"left-leaning",5,6,3.5,3,3,3.5,3.5,0.6988837,0,-0.0575,2.282,0,0,0,0,0
"52","5c083bf7133f8700012f74fe",2.69268007069442,0.66132797279609,1.01702505154612,0.649090493564344,0.620428001831418,0.789968305985971,1.28862201368018,"Female",46,"< 18.000£","Higher education (Bachelor, Master, PhD)",5.75,2.2,"right-leaning",6,4,4.5,5.5,4.5,4.5,3.5,0.1031,-0.44,-0.0575,2.282,0.2726,0,0,0,0
"53","5c097fbac15a020001bb0720",1.30799237284349,1.09323298876267,0.449442956162978,0.497452479539869,0.126584799146899,0.340726874700432,0.69731480966267,"Female",49,"< 18.000£","Further education",1.5,3.6,"right-leaning",8,4,4,4,3.5,4,4,1.294697,-0.11,-0.0575,1.431,1.0872,0,0,0,0
"54","5c1a9e662e3e4200018d9ff6",4.50883162699386,0.37805272598119,-0.215511158962344,0.553484772649321,0.327174213431429,0.228072872266815,0.387215312937268,"Female",24,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",5,10.8,"right-leaning",6,6.5,4.5,5,3.5,4.5,5.5,1.294697,0,0,2.282,0.2726,0.1555,0.0729,6.74,0.1142
"55","5c3baa275a88cc000189ef36",1.3553152840845,0.374861112785768,0.340847295788113,0.42492222873248,0.0219582515218816,0.22535548261764,0.536878322294945,"Male",45,"> 45.001£","Higher education (Bachelor, Master, PhD)",2,7.1,"right-leaning",6,4.5,4,4,4,4,4,1.294697,-0.22,-0.0575,2.282,0,0.1555,0.0729,3.59,0.1142
"56","5c3d48955fd1050001a99364",2.43646324548698,0.50057619713671,-0.429094030246314,0.886505251110467,0.399528176733457,0.470050882928677,1.00346297091399,"Female",33,"18.000£ to 23.000£","Compulsory education",2.5,7.6,"left-leaning",4,4,5.5,5.5,2.5,4,2.5,1.294697,-0.22,-0.0575,2.282,4.0896,0.1555,0.0729,0,0.1142
"57","5c49d339b43d260001e4dbcb",3.36601841979565,-0.109753275942468,0.270796820096699,0.499011591231719,0.298234983524723,0.285009726208206,0.470171601570619,"Male",46,"> 45.001£","Compulsory education",6,6.3,"left-leaning",5,4.5,5,5,5,4.5,5,1.294697,-0.11,-0.0575,2.282,2.0414,0,0,0.9,0
"58","5c49e145e97243000194bace",4.70552680421495,-1.5040669809282,-0.393284571385889,-0.437856380292249,0.226384750530513,-0.29832647071853,-0.0773815706097741,"Female",38,"< 18.000£","Further education",3.75,6.8,"right-leaning",6,3,2.5,2.5,2.5,2.5,4,1.294697,-0.22,-0.0575,2.282,3.27168,0.1555,0.0729,0.36,0.1142
"59","5c51d3e6a163ac0001721273",2.41185118854703,0.811913849481406,0.644728688973359,0.58451224636179,0.395767853382264,0.56227704857586,0.979315252904198,"Male",47,"18.000£ to 23.000£","Higher education (Bachelor, Master, PhD)",5.75,2.1,"left-leaning",4,4,6,5,4,6.5,6,0.1031,-0.22,-0.0575,1.234,1.0872,0,0,0,0
"60","5c582f95caffa2000175bc72",2.31118971285568,1.66017577497637,0.722591651326908,0.541466453583576,0.252656839395092,0.454916364167956,0.715122627022047,"Female",37,"< 18.000£","Further education",4.5,6.9,"left-leaning",5,4.5,3.5,4,4,4,5,1.294697,0,-0.0575,2.282,1.0872,0.1555,0.0729,2.07,0.1142
"61","5c780b32f2fe9400169291fb",2.45537608963029,7.91406741349476e-05,0.355384226276796,0.292624984609579,-0.0263161940798762,0.169582996351813,0.407993351914781,"Male",47,"30.501£ to 45.000£","Further education",3,6.8,"right-leaning",9,2.5,1,3.5,2,1.5,1.5,0.6988837,-0.22,-0.0575,2.282,4.0896,0,0,0,0
"62","5c7fb5f2e87c1c00168a7de3",3.14472541600202,2.17717459784852,0.490656225511723,0.685747998121505,0.382896650612129,0.48284835451494,0.681856472480434,"Male",64,"18.000£ to 23.000£","Higher education (Bachelor, Master, PhD)",6,2.1,"left-leaning",3,7,7,7,6,7,7,1.294697,-0.33,-0.0575,1.234,0,0,0,0,0
"63","5c882fbb42ff490016c7e47b",2.80046987452057,1.22249918769165,1.54464025026889,0.549449382982906,0.481512986773567,0.7662631843159,1.06553829532637,"Female",55,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3.5,4.6,"right-leaning",6,2,5.5,1.5,4,3.5,1.5,1.294697,0,-0.0575,2.282,1.0872,0,0,0,0
"64","5c8a2d11f7ab04001042af3c",2.14015508728984,0.499730752783583,1.41614529877899,0.479581433327324,0.440387194833235,0.669247862150569,1.01154110837382,"Male",29,"< 18.000£","Higher education (Bachelor, Master, PhD)",5.25,4,"left-leaning",3,5,3.5,4,5,3,4,0.6988837,-0.33,-0.0575,2.282,0.2726,0.1555,0.0729,0.9,0.1142
"65","5c93b062c9d93b0015fcbc02",2.08342990377721,0.958776615186051,0.500504452769079,0.532730948679345,0.513768771023655,0.60350484026262,1.19298712038058,"Female",40,"< 18.000£","Higher education (Bachelor, Master, PhD)",6,3,"left-leaning",5,5,5.5,6,4,2.5,5.5,0.6988837,-0.22,-0.0575,2.282,0.2726,0,0,0,0
"66","5caa0d17f1622b001256f767",2.10412454453834,0.781339785229644,0.104861646204455,0.606705700914781,0.195280562101803,0.343496189105107,0.706002845422479,"Female",39,"< 18.000£","Compulsory education",5.75,6.8,"left-leaning",4,4.5,2.5,4,4.5,4.5,4,0.1031,-0.22,-0.0575,2.282,1.0872,0,0,3.59,0
"67","5cb001bac900f300128b3171",4.15087929677369,-0.230373403778257,0.697814836804703,0.400392047709428,0.674906201582967,0.507918034944815,0.801731429373466,"Female",37,"< 18.000£","Further education",6,4.1,"right-leaning",6,4.5,4,6,4.5,6,6,1.294697,-0.44,-0.0575,1.053,0,0.1555,0.0729,2.07,0.1142
"68","5cb9051d43630e00018afa56",2.39251370412907,2.55837306362288,0.922563323444715,0.747339585191371,0.106783276392159,0.478314820215399,0.523940085834496,"Male",42,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",1.75,10.1,"right-leaning",9,2,5,6,3,3,3,1.294697,-0.11,0,2.282,1.0872,1.11645,0.8755,3.59,0.995975
"69","5ccf4c5db46c7000170d7f5a",1.66697025054735,0.759934712620235,0.309939115904416,0.821975799476811,0.237979680760282,0.431253671192136,0.711965041670642,"Female",22,"< 18.000£","Higher education (Bachelor, Master, PhD)",4.5,7.3,"left-leaning",4,5.5,3,4,3.5,2.5,3.5,1.294697,-0.22,-0.0575,2.282,0,0.1555,0.2909,3.59,0.2232
"70","5cd01e707e84a20017fddc02",2.52737066325171,0.981510601340597,0.835022850291686,0.490788263274563,0.14173822419331,0.513616037643394,0.857219952016215,"Female",66,"< 18.000£","Higher education (Bachelor, Master, PhD)",2.25,5,"right-leaning",6,5,2,6,3,2.5,5,0.6988837,-0.22,-0.0575,2.282,0,0.1555,0.0729,2.07,0.1142
"71","5ce046f0feca32001bf94033",4.09206365894251,0.92609551238838,0.561733282670501,0.641768059161149,0.65008091294983,0.561910401321962,0.79865558509084,"Female",36,"< 18.000£","Compulsory education",6,3.8,"left-leaning",3,6,5,5.5,4,3,4.5,1.294697,-0.22,-0.0575,2.282,0.2726,0.1555,0.0729,0.36,0.1142
"72","5cf62554ba314a001b11b8c4",2.72337723310558,0.394190689467829,0.545458457190858,0.165788747318738,0.417359003920265,0.336312938144561,0.748953518985996,"Female",51,"< 18.000£","Higher education (Bachelor, Master, PhD)",6,4.9,"left-leaning",3,5,5,5,5,5,5,0.6988837,-0.11,-0.0575,2.282,2.0414,0,0,0,0
"73","5d1bd8a7601cd70001728db6",3.10868674057488,2.04510878302831,0.7173891925595,0.815720401379405,0.418028481996086,0.726195864442468,1.09209731425309,"Female",48,"23.001£ to 30.500£","Further education",4.25,3.6,"left-leaning",4,5.5,4,6,4,2,2.5,1.294697,-0.22,-0.0575,2.282,0.2726,0,0,0,0
"74","5d31c201c88f0e001a4c3cb3",4.2611665382149,0.530867814747354,0.456294142445282,0.249925080452758,0.294855662901086,0.248187814023677,0.386455490289566,"Male",62,"23.001£ to 30.500£","Compulsory education",2.75,3.3,"right-leaning",9,3.5,4,4,2,1,2.5,1.294697,-0.44,-0.0575,2.282,0.2726,0,0,0,0
"75","5d380e7c0322fd0018f3f9cd",3.5156703311872,0.632960051310722,1.79410709467321,0.119935943440483,0.668815109653733,0.791228991171423,1.26235127586697,"Female",30,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4.75,5.4,"left-leaning",4,4.5,3.5,4,3.5,1,2.5,1.294697,-0.11,-0.0575,2.282,1.0872,0,0,0.9,0
"76","5d51c2618bdb8000193f36d2",2.29611919964486,0.201447169561286,0.470794804679975,0.439064444166558,0.279429361266184,0.514890850519114,1.07981987819435,"Male",32,"> 45.001£","Further education",5,4.9,"left-leaning",5,3.5,2,3.5,3.5,1,2.5,0.6988837,-0.11,-0.0575,2.282,2.0414,0,0,0,0
"77","5d531d67c208c0000167ff54",1.57758093036481,1.81111725240829,1.14897741016318,0.846083198859879,0.378813885136367,0.777010195901414,1.15076245904927,"Female",56,"23.001£ to 30.500£","Further education",6,2.2,"right-leaning",6,5.5,5.5,6,5.5,5,7,0.1031,-0.44,-0.0575,2.282,0.2726,0,0,0,0
